tipo_negocio,origen_deal_id,origen_deal_name,origen_created_date,origen_pipeline_id,origen_pipeline_label,origen_dealstage_id,origen_dealstage_label,origen_amount,origen_currency,origen_duracion_meses,origen_origen_del_negocio,origen_unidad_de_negocio_asignada,origen_producto_catalogo,origen_due_o_del_deal,contact_id,deal_id,deal_name,deal_created_date,deal_pipeline_id,deal_pipeline_label,deal_dealstage_id,deal_dealstage_label,deal_amount,deal_currency,deal_origen_del_negocio,deal_unidad_de_negocio_asignada,deal_producto_catalogo,deal_due_o_del_deal
origen_marketing,18052879675,Lead de Expoceres - Evento,2025-01-02 22:07:17.361,9456018,iNBest.marketing,27061829,Nutrición,0.0,,0.0,Marketing digital,AWS,,,,,,,,,,,,,,,,
origen_marketing,31448472223,Lead Formulario - Orgánico,2025-01-04 16:48:21.181,9456018,iNBest.marketing,27061829,Nutrición,0.0,,0.0,,,,,,,,,,,,,,,,,,
origen_marketing,31445765967,Lead de Jelastic - MKT,2025-01-04 16:48:37.628,9456018,iNBest.marketing,27061829,Nutrición,0.0,,0.0,Marketing digital,,,,,,,,,,,,,,,,,
origen_marketing,31603097718,Lead de Azure - Referido,2025-01-06 16:53:24.102,9456018,iNBest.marketing,27071621,Localizando,0.0,,0.0,Referido por partner,AWS,,,,,,,,,,,,,,,,
origen_marketing,31656169370,Lead de Chatbot - TeleMkt,2025-01-07 15:55:09.939,9456018,iNBest.marketing,27071621,Localizando,0.0,,0.0,Marketing digital,Enterprises,,,,,,,,,,,,,,,,
origen_marketing,31718115736,Lead de Chatbot - TeleMkt,2025-01-08 23:33:40.110,9456018,iNBest.marketing,27071621,Localizando,0.0,,0.0,Marketing digital,Enterprises,,,,,,,,,,,,,,,,
origen_marketing,31716148573,Lead de AWS - Google ADS,2025-01-09 08:26:21.780,9456018,iNBest.marketing,27061828,Descartado (contacto si interés),0.0,,0.0,Marketing digital,AWS,,,,,,,,,,,,,,,,
origen_marketing,31720436104,Lead de AWS - Google ADS,2025-01-09 09:24:29.926,9456018,iNBest.marketing,27061828,Descartado (contacto si interés),0.0,,0.0,Marketing digital,AWS,,,,,,,,,,,,,,,,
origen_marketing,31727685000,Lead de Chatbot - Orgánico,2025-01-10 20:00:01.664,9456018,iNBest.marketing,27061827,Negocio perdido,0.0,,0.0,Marketing digital,Enterprises,,,,,,,,,,,,,,,,
posterior_contacto,31727685000,Lead de Chatbot - Orgánico,2025-01-10 20:00:01.664,9456018,iNBest.marketing,27061827,Negocio perdido,0.0,,0.0,Marketing digital,Enterprises,,,90065890088,31936127535,Asistente virtual - Superdot,2025-01-13 18:27:07.321,3020616,iNBest.Enterprises,3020623,Perdidos,7500.0,,Marketing digital,Enterprises,,
origen_marketing,32091163294,Lead de M365 - Orgánico,2025-01-15 22:45:42.402,9456018,iNBest.marketing,27061826,MQL (Transferido a Sales),0.0,,0.0,Marketing digital,Enterprises,,,,,,,,,,,,,,,,
origen_marketing,32143525998,Lead de Chatbot - TeleMkt,2025-01-17 16:55:40.548,9456018,iNBest.marketing,27071621,Localizando,0.0,,0.0,Marketing digital,Enterprises,,,,,,,,,,,,,,,,
origen_marketing,32267857442,Lead Hybrid Cloud - Orgánico,2025-01-21 01:06:18.545,9456018,iNBest.marketing,27071621,Localizando,0.0,,0.0,Marketing Organico,AWS,,,,,,,,,,,,,,,,
origen_marketing,32306818065,Lead de AWS - Google ADS,2025-01-21 18:40:34.933,9456018,iNBest.marketing,27071621,Localizando,0.0,,0.0,Marketing digital,AWS,,,,,,,,,,,,,,,,
origen_marketing,32302884904,Lead de AWS - Google ADS,2025-01-22 05:25:23.367,9456018,iNBest.marketing,27071621,Localizando,0.0,,0.0,Marketing digital,AWS,,,,,,,,,,,,,,,,
origen_marketing,32336620597,Lead de Chatbot - TeleMkt,2025-01-22 19:56:58.815,9456018,iNBest.marketing,27071621,Localizando,0.0,,0.0,Marketing digital,Enterprises,,,,,,,,,,,,,,,,
origen_marketing,32876198057,Lead de AWS - Google ADS,2025-02-02 07:35:48.252,9456018,iNBest.marketing,27061828,Descartado (contacto si interés),0.0,,0.0,Marketing digital,AWS,,,,,,,,,,,,,,,,
origen_marketing,32876973211,Lead de AWS - Google ADS,2025-02-02 08:57:43.121,9456018,iNBest.marketing,27061828,Descartado (contacto si interés),0.0,,0.0,Marketing digital,AWS,,,,,,,,,,,,,,,,
origen_marketing,33341256988,Lead de AWS - Google ADS,2025-02-11 21:38:57.176,9456018,iNBest.marketing,27061828,Descartado (contacto si interés),0.0,,0.0,Marketing digital,AWS,,,,,,,,,,,,,,,,
origen_marketing,33410560798,Lead de Formulario - Orgánico,2025-02-12 21:37:12.457,9456018,iNBest.marketing,27061828,Descartado (contacto si interés),0.0,,0.0,Marketing digital,,,,,,,,,,,,,,,,,
